date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2008-11-03,49.02,50.5,48.33,49.97,326800,0.9804,1.01,0.9666,0.9994,16340000,0.0,1.0
2008-11-04,50.61,53.22,49.21,49.27,378900,1.0122,1.0644,0.9842,0.9854,18945000,0.0,1.0
2008-11-05,48.59,51.12,48.55,50.59,130000,0.9718,1.0224,0.971,1.0118,6500000,0.0,1.0
2008-11-06,48.65,50.43,48.03,48.59,160900,0.973,1.0086,0.9606,0.9718,8045000,0.0,1.0
2008-11-07,48.57,49.5199,47.67,49.17,149600,0.9714,0.990398,0.9534,0.9834,7480000,0.0,1.0
2008-11-10,45.43,50.0,44.57,49.64,451700,0.9086,1.0,0.8914,0.9928,22585000,0.0,1.0
2008-11-11,44.68,45.72,43.9411,44.86,698200,0.8936,0.9144,0.878822,0.8972,34910000,0.0,1.0
2008-11-12,42.2,44.39,41.82,43.55,568300,0.844,0.8878,0.8364,0.871,28415000,0.0,1.0
2008-11-13,44.84,45.23,40.93,42.38,578700,0.8968,0.9046,0.8186,0.8476,28935000,0.0,1.0
2008-11-14,44.32,45.49,42.35,43.95,408300,0.8864,0.9098,0.847,0.879,20415000,0.0,1.0
2008-11-17,44.14,45.39,43.59,44.06,272500,0.8828,0.9078,0.8718,0.8812,13625000,0.0,1.0
2008-11-18,43.89,44.99,41.53,44.14,354700,0.8778,0.8998,0.8306,0.8828,17735000,0.0,1.0
2008-11-19,40.7,44.04,40.25,44.04,339700,0.814,0.8808,0.805,0.8808,16985000,0.0,1.0
2008-11-20,38.69,41.63,38.55,40.06,372000,0.7738,0.8326,0.771,0.8012,18600000,0.0,1.0
2008-11-21,39.3,40.0,36.86,39.41,578300,0.786,0.8,0.7372,0.7882,28915000,0.0,1.0
2008-11-24,42.61,43.87,39.08,39.69,407100,0.8522,0.8774,0.7816,0.7938,20355000,0.0,1.0
2008-11-25,44.8,44.9,42.61,43.8,421600,0.896,0.898,0.8522,0.876,21080000,0.0,1.0
2008-11-26,48.08,48.43,42.82,44.03,343900,0.9616,0.9686,0.8564,0.8806,17195000,0.0,1.0
2008-11-28,49.58,49.88,47.21,47.55,149200,0.9916,0.9976,0.9442,0.951,7460000,0.0,1.0
2008-12-01,45.63,48.76,45.4,48.09,354500,0.9126,0.9752,0.908,0.9618,17725000,0.0,1.0
2008-12-02,45.92,48.64,45.24,46.0,463600,0.9184,0.9728,0.9048,0.92,23180000,0.0,1.0
2008-12-03,49.12,49.99,45.25,45.26,605600,0.9824,0.9998,0.905,0.9052,30280000,0.0,1.0
2008-12-04,50.76,51.76,48.18,48.52,498400,1.0152,1.0352,0.9636,0.9704,24920000,0.0,1.0
2008-12-05,53.1,53.21,49.1,50.22,397300,1.062,1.0642,0.982,1.0044,19865000,0.0,1.0
2008-12-08,56.89,58.04,53.27,53.27,540200,1.1378,1.1608,1.0654,1.0654,27010000,0.0,1.0
2008-12-09,53.4,57.31,52.72,56.45,365200,1.068,1.1462,1.0544,1.129,18260000,0.0,1.0
2008-12-10,58.91,59.5,54.18,54.18,670000,1.1782,1.19,1.0836,1.0836,33500000,0.0,1.0
2008-12-11,55.05,59.15,53.32,58.52,345700,1.101,1.183,1.0664,1.1704,17285000,0.0,1.0
2008-12-12,57.47,58.425,53.42,53.92,378700,1.1494,1.1685,1.0684,1.0784,18935000,0.0,1.0
2008-12-15,56.59,58.25,55.295,57.91,330000,1.1318,1.165,1.1059,1.1582,16500000,0.0,1.0
2008-12-16,60.93,60.98,56.9701,57.49,539900,1.2186,1.2196,1.139402,1.1498,26995000,0.0,1.0
2008-12-17,64.63,66.05,59.04,60.39,781200,1.2926,1.321,1.1808,1.2078,39060000,0.0,1.0
2008-12-18,64.08,67.92,63.01,65.15,684600,1.2816,1.3584,1.2602,1.303,34230000,0.0,1.0
2008-12-19,63.76,66.18,63.23,64.25,816700,1.2752,1.3236,1.2646,1.285,40835000,0.0,1.0
2008-12-22,63.31,64.0,61.5,63.98,643400,1.2662,1.28,1.23,1.2796,32170000,0.0,1.0
2008-12-23,59.19,63.42,58.48,63.25,572400,1.1838,1.2684,1.1696,1.265,28620000,0.0,1.0
2008-12-24,58.74,60.39,58.41,59.67,273100,1.1748,1.2078,1.1682,1.1934,13655000,0.0,1.0
2008-12-26,58.28,60.452,57.55,58.98,269700,1.1656,1.20904,1.151,1.1796,13485000,0.0,1.0
2008-12-29,57.34,58.38,56.03,58.38,437300,1.1468,1.1676,1.1206,1.1676,21865000,0.0,1.0
2008-12-30,60.59,60.84,57.68,57.97,513000,1.2118,1.2168,1.1536,1.1594,25650000,0.0,1.0
2008-12-31,61.98,63.2374,61.05,62.0,443500,1.2396,1.264748,1.221,1.24,22175000,0.0,1.0
2009-01-02,64.14,64.48,60.4,61.89,470800,1.2828,1.2896,1.208,1.2378,23540000,0.0,1.0
2009-01-05,62.55,64.85,61.3112,64.68,606500,1.251,1.297,1.226224,1.2936,30325000,0.0,1.0
2009-01-06,60.38,63.55,59.84,63.48,658500,1.2076,1.271,1.1968,1.2696,32925000,0.0,1.0
2009-01-07,58.51,59.9,58.11,59.61,673100,1.1702,1.198,1.1622,1.1922,33655000,0.0,1.0
